[SETTINGS]

start	1
#id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\simon1.png	116	116	116
10	textures\creeps.png	116	116	116
20	textures\items.png	116	116	116
30	Scene1\results.png	0	0	0
40	Scene2\results.png	0	0	0
# id	left	top	right	bottom	texture_id

[SPRITES]

#Simon
#Idle/walk
1001	1	21	33	53	0
1002	29	21	61	53	0
1003	54	21	86	53	0
1004	83	21	115	53	0
#jump/duck					
1005	113	21	145	53	0
#ascend					
1006	146	21	178	53	0
1007	171	21	203	53	0
#descend					
1008	203	21	235	53	0
1009	228	21	260	53	0
#hurt					
1010	267	21	299	53	0
#death					
1011	300	21	332	53	0
1012	333	21	365	37	0
#attack					
1013	1	78	33	110	0
1014	34	78	66	110	0
1015	69	78	101	110	0
#attack/ducking					
1016	139	78	171	110	0
1017	172	78	204	110	0
1018	207	78	239	110	0
#attacking/ascend					
1019	285	78	317	110	0
1020	310	78	342	110	0
1021	345	78	377	110	0
#attacking/descend					
1022	431	78	463	110	0
1023	464	78	496	110	0
1024	499	78	531	110	0
#whip 1
1101	0	477	112	509	0
1102	80	477	192	501	0
1103	176	477	288	493	0
#whip 2 + 3
1111	0	509	112	541	0
1112	80	509	192	533	0
1113	176	509	288	525	0
1114	176	525	288	541	0
#whip 4
1121	52	477	60	509	0
1122	88	477	104	501	0
1123	181	477	221	493	0
#whip 5
1131	70	477	78	509	0
1132	122	477	138	501	0
1133	263	477	303	493	0
#whip 6
1141	79	477	87	509	0
1142	139	477	155	501	0
1143	304	477	344	493	0
#dagger
1151	354	477	370	493	0
#cross
1161	401	477	417	493	0
1162	418	477	434	493	0
1163	435	477	451	493	0
#Axe
1171	515	477	531	493	0
1172	532	477	548	493	0
1173	549	477	565	493	0
1174	566	477	582	493	0
#bomb
1181	587	477	595	493	0
1182	596	477	604	493	0
1183	605	477	613	493	0
1184	614	477	622	493	0
1185	623	477	639	493	0
1186	640	477	656	493	0
#hit fx
1999 	727	477	735	493	0
#fire pillar
2000	175	1	191	33	20
2001	192	1	208	33	20
#candles
2002	157	1	165	17	20
2003	166	1	174	17	20
#brick
3000	48	64	64	80	30
#ITEMS					
#Whip-upgrade					
4000	1	1	17	17	20
#small-heart					
4001	18	1	26	17	20
#big-heart					
4002	27	1	43	17	20
#money-bag					
4003	44	1	60	17	20
4004	61	1	77	17	20
4005	78	1	94	17	20
#orb					
4006	95	1	111	17	20
4007	112	1	128	17	20
#item-dagger					
4008	1	18	17	34	20
#item-axe					
4009	18	18	34	34	20
#item-holywater					
4010	35	18	51	34	20
#item-cross					
4011	86	18	102	34	20
#item-clock					
4012	103	18	119	34	20
#item-weapon-upgrade					
4013	120	18	136	34	20
4014	137	18	153	34	20
#chicken					
4015	1	35	17	51	20
#bottle					
4016	18	35	34	51	20
#ROSARY
4017	35	35	51	51	20
# ani_id	sprite1_id	time1	sprite2_id	time2	...

[ANIMATIONS]

#==SIMON==
#idle
100	1001	100
#walk left
101	1003	100	1004	100	1003	100	1002	100
#attack left
102	1013	100	1014	100	1015	100
#duck left
103	1005	100
#duck attack left
104	1016	100	1017	100	1018	100	
#jump left
105	1005	400	1001	400
#hurt
106	1010	100
#death
107	1011	100	1012	100
#==BRICK
200	3000	100
#==WHIP
300	1101	100	1102	100	1103	100
301	1111	100	1112	100	1113	100
302	1111	100	1112	100	1114	100
#DAGGER
303	1151	100
#CROSS
304	1161	100	1163	100	1162	100
#AXE
305	1171	50	1172	50	1173	50	1174	50
#HOLYWATER
306	1181	100
307	1182	100	1183	100	1184	100	1185	100	1186	100
#HITEFFECT
308	1999	200
309	1181	100	1182	100
#==FIRE PILLAR
398	2002	100	2003	100
399	2000	100	2001	100
#SMALL HEART
401	4001	100
#BIG HEART
402	4002	100
#MONEY-BAG
403	4003	100
404	4004	100
405	4005	100
#ORB
406	4006	100	4007	100
#WHIP-UPGRADE
400	4000	100
#ITEM-DAGGER
408	4008	100
#ITEM-AXE
409	4009	100
#ITEM-HOLYWATER
410	4010	100
#ITEM-CROSS
411	4011	100
#ITEM-STOPWATCH
412	4012	100
#WEAPON-UPGRADE
413	4013	100
414	4014	100
#CHICKEN
415	4015	100
#BOTTLE	
416	4016	100
#ROSARY
417	4017	100
[ANIMATION_SETS]
#SIMON
1	100	101	102	103	104	105
#BRICK
2	200
#WHIP
3	300	301	302
#DAGGER
4	303
#CROSS
5	304
#AXE
6	305
#HOLYWATER
7	306	307
#CANDLE
8	
#FIREPILLAR
9	398	399
#SMALL HEART
11	401
#BIG HEART
12	402
#MONEY-BAG
13	403	404	405
#ORB
14	406
#WHIP-UPGRADE
15	400
#ITEM-DAGGER
16	408
#ITEM-AXE
17	409
#ITEM-HOLYWATER
18	410
#ITEM-CROSS
19	411
#ITEM-STOPWATCH
20	412
#WEAPON-UPGRADE
21	413	414
#CHICKEN
22	415
#BOTTLE	
23	416
#ROSARY
24	417
#scene list

[SCENES]

1	simon_scene1.txt
2	simon_scene2.txt
3	simon_scene3.txt
4	simon_scene4.txt
5	simon_scene5.txt
6	simon_scene6.txt
